year,ISO_code,region,ef_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation
2017,KAZ,Caucasus & Central Asia,7.1,7.0,5.3,8.9,6.6,7.7
2017,KEN,Sub-Saharan Africa,7.05,7.4,5.2,9.2,6.7,6.7
2017,KOR,East Asia,7.59,7.0,6.5,9.6,7.6,7.3
2017,KWT,Middle East & North Africa,6.41,5.2,5.0,8.4,6.8,6.7
2017,KGZ,Caucasus & Central Asia,6.92,7.0,4.3,9.3,7.4,6.7
2017,LAO,South Asia,6.67,6.3,5.6,7.4,7.5,6.5
2017,LVA,Eastern Europe,7.73,6.8,6.3,9.3,8.4,7.9
2017,LBN,Middle East & North Africa,6.97,8.4,3.8,9.6,6.8,6.4
2017,LSO,Sub-Saharan Africa,6.5,5.6,5.4,7.7,6.4,7.4
2017,LBR,Sub-Saharan Africa,6.56,7.2,4.2,9.0,6.2,6.2
2017,LBY,Middle East & North Africa,4.45,3.7,3.6,6.5,2.3,6.2
2017,LTU,Eastern Europe,7.88,7.4,6.6,9.2,8.2,8.0
2017,LUX,Western Europe,7.86,5.4,8.3,9.4,8.3,7.9
2017,MDG,Sub-Saharan Africa,6.14,7.6,3.0,7.6,6.7,5.8
2017,MWI,Sub-Saharan Africa,6.06,5.9,4.7,7.0,6.6,6.0
2017,MYS,South Asia,7.34,6.4,5.6,8.2,7.8,8.7
2017,MLI,Sub-Saharan Africa,5.91,5.7,3.5,7.3,6.9,6.2
2017,MLT,Western Europe,7.97,7.1,6.5,9.5,8.4,8.3
2017,MRT,Sub-Saharan Africa,6.11,5.9,3.7,8.0,6.0,6.9
2017,MUS,Sub-Saharan Africa,8.07,8.0,6.9,9.4,8.5,7.5
2017,MEX,Latin America & the Caribbean,6.93,7.9,4.2,7.9,7.6,7.0
2017,MDA,Eastern Europe,6.66,6.4,4.3,8.1,7.5,6.9
2017,MNG,East Asia,7.43,7.9,5.8,9.1,6.7,7.6
2017,MNE,Eastern Europe,6.84,5.9,4.9,8.1,8.2,7.0
2017,MAR,Middle East & North Africa,6.69,6.2,5.6,7.3,7.1,7.3
2017,MOZ,Sub-Saharan Africa,5.6,5.4,4.1,6.9,6.5,5.0
2017,MMR,South Asia,5.63,6.8,3.6,6.7,5.2,5.9
2017,NAM,Sub-Saharan Africa,6.53,5.7,6.4,6.5,6.5,7.7
2017,NPL,South Asia,6.49,7.2,4.5,6.8,6.6,7.2
2017,NLD,Western Europe,7.72,4.3,8.1,9.4,8.7,8.1
2017,NZL,Oceania,8.5,6.6,8.6,9.5,8.6,9.1
2017,NIC,Latin America & the Caribbean,7.01,6.6,4.4,9.1,7.8,7.0
2017,NER,Sub-Saharan Africa,5.83,6.2,3.7,7.1,5.6,6.5
2017,NGA,Sub-Saharan Africa,6.86,8.6,3.3,8.6,6.1,7.8
2017,MKD,Eastern Europe,7.02,6.7,4.3,8.1,7.9,8.0
2017,NOR,Western Europe,7.62,4.9,8.5,9.6,7.6,7.6
2017,OMN,Middle East & North Africa,6.76,4.4,6.2,8.7,7.7,6.8
2017,PAK,South Asia,5.91,7.0,3.6,6.7,5.8,6.4
2017,PAN,Latin America & the Caribbean,7.66,7.9,5.2,9.7,8.7,6.9
2017,PNG,Oceania,6.36,6.1,4.2,6.5,7.3,7.7
2017,PRY,Latin America & the Caribbean,7.03,8.3,3.9,9.4,7.3,6.2
2017,PER,Latin America & the Caribbean,7.49,7.5,4.7,9.7,8.2,7.2
2017,PHL,South Asia,7.32,8.3,4.2,9.5,7.2,7.4
2017,POL,Eastern Europe,7.24,5.6,5.8,9.7,7.9,7.2
2017,PRT,Western Europe,7.52,6.2,6.8,9.4,8.3,6.8
2017,QAT,Middle East & North Africa,7.07,5.7,6.1,8.5,7.5,7.5
2017,ROU,Eastern Europe,7.68,7.0,6.1,9.4,8.4,7.5
2017,RUS,Eastern Europe,6.78,6.3,4.8,9.3,6.8,6.6
2017,RWA,Sub-Saharan Africa,7.26,5.2,6.9,9.2,7.1,7.8
2017,SAU,Middle East & North Africa,6.52,5.2,5.3,9.0,6.3,6.8
2017,SEN,Sub-Saharan Africa,6.17,7.0,4.3,7.2,6.7,5.6
2017,SRB,Eastern Europe,6.89,6.4,5.0,8.2,7.6,7.2
2017,SYC,Sub-Saharan Africa,7.16,6.3,5.8,9.1,7.3,7.4
2017,SLE,Sub-Saharan Africa,5.71,6.9,3.9,6.5,6.4,4.7
2017,SGP,South Asia,8.71,7.2,8.2,9.9,9.3,9.0
2017,SVK,Eastern Europe,7.51,6.5,5.7,9.5,8.3,7.6
2017,SVN,Eastern Europe,7.15,5.3,6.2,9.4,7.9,7.0
2017,ZAF,Sub-Saharan Africa,6.61,5.8,5.0,8.2,6.9,7.2
2017,ESP,Western Europe,7.55,6.1,6.8,9.4,8.1,7.5
2017,LKA,South Asia,6.57,7.6,4.9,7.6,5.8,6.9
2017,SDN,Sub-Saharan Africa,4.67,7.6,3.0,4.4,2.3,6.0
2017,SUR,Latin America & the Caribbean,6.65,6.4,4.7,7.2,7.2,7.7
2017,SWE,Western Europe,7.56,4.5,7.7,9.3,8.2,8.0
2017,CHE,Western Europe,8.4,7.6,8.4,9.9,7.6,8.5
2017,SYR,Middle East & North Africa,5.05,5.7,3.2,5.9,5.0,5.4
2017,TWN,East Asia,7.85,7.4,6.8,9.8,7.7,7.6
2017,TJK,Caucasus & Central Asia,6.05,5.1,5.0,7.5,5.9,6.6
2017,TZA,Sub-Saharan Africa,6.77,6.7,5.7,8.3,6.2,7.0
2017,THA,South Asia,6.86,6.8,4.7,8.6,7.2,7.0
2017,TLS,South Asia,5.99,4.5,3.3,8.1,7.8,6.3
2017,TGO,Sub-Saharan Africa,6.21,6.5,5.2,7.0,5.7,6.6
2017,TTO,Latin America & the Caribbean,6.7,5.4,4.6,9.1,7.8,6.6
2017,TUN,Middle East & North Africa,6.2,5.6,5.3,6.9,6.8,6.4
2017,TUR,Middle East & North Africa,6.67,6.6,4.6,8.8,7.3,6.0
2017,UGA,Sub-Saharan Africa,7.39,7.5,4.7,9.4,7.6,7.8
2017,UKR,Eastern Europe,5.96,7.2,4.4,5.0,6.8,6.4
2017,ARE,Middle East & North Africa,7.17,5.8,5.7,9.1,8.0,7.2
2017,GBR,Western Europe,8.09,6.2,7.8,9.7,8.4,8.4
2017,USA,North America,8.19,7.2,7.4,9.8,7.7,8.9
2017,URY,Latin America & the Caribbean,7.05,6.3,5.2,9.0,7.9,6.8
2017,VEN,Latin America & the Caribbean,2.58,4.6,2.0,0.7,3.2,2.5
2017,VNM,South Asia,6.27,6.7,5.0,6.7,6.3,6.7
2017,YEM,Middle East & North Africa,5.84,7.1,3.2,8.0,5.9,5.0
2017,ZMB,Sub-Saharan Africa,6.84,6.6,5.2,8.8,7.1,6.5
2017,ZWE,Sub-Saharan Africa,5.69,5.5,4.1,8.4,3.7,6.7
2016,ALB,Eastern Europe,7.64,7.9,5.1,9.6,8.2,7.5
2016,DZA,Middle East & North Africa,5.03,3.7,4.7,7.3,4.1,5.4
2016,AGO,Sub-Saharan Africa,5.4,7.5,3.0,5.6,5.3,5.6
2016,ARG,Latin America & the Caribbean,5.4,5.6,3.9,5.6,6.5,5.4
2016,ARM,Caucasus & Central Asia,7.65,7.4,5.8,9.5,8.2,7.4
2016,AUS,Oceania,8.07,7.0,7.9,9.5,7.5,8.5
2016,AUT,Western Europe,7.69,5.6,7.9,9.4,8.1,7.4
2016,AZE,Caucasus & Central Asia,6.46,5.0,5.7,7.5,7.2,6.9
2016,BHS,Latin America & the Caribbean,7.33,8.2,6.7,6.9,6.7,8.2
2016,BHR,Middle East & North Africa,7.24,6.7,5.3,9.4,7.4,7.4
2016,BGD,South Asia,6.19,8.1,3.2,7.0,6.0,6.7
2016,BRD,Latin America & the Caribbean,6.43,6.4,5.8,6.4,7.0,6.5
2016,BLR,Eastern Europe,6.08,6.0,5.5,5.3,7.2,6.4
